"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 27, 2018","24,310.43","24,340.79","24,358.78","24,196.90","378.96M","-0.05%"
"Apr 26, 2018","24,322.34","24,128.72","24,402.46","24,128.72","390.36M","0.99%"
"Apr 25, 2018","24,083.83","24,070.20","24,146.34","23,823.08","437.10M","0.25%"
"Apr 24, 2018","24,024.13","24,579.94","24,579.94","23,828.73","468.18M","-1.74%"
"Apr 23, 2018","24,448.69","24,488.07","24,536.89","24,328.54","351.04M","-0.06%"
"Apr 20, 2018","24,462.94","24,657.39","24,678.07","24,375.04","537.77M","-0.82%"
"Apr 19, 2018","24,664.89","24,711.30","24,762.48","24,557.03","381.12M","-0.34%"
"Apr 18, 2018","24,748.07","24,820.85","24,832.54","24,721.09","302.03M","-0.16%"
"Apr 17, 2018","24,786.63","24,681.79","24,858.97","24,681.79","342.41M","0.87%"
"Apr 16, 2018","24,573.04","24,483.15","24,675.36","24,480.20","305.07M","0.87%"
"Apr 13, 2018","24,360.14","24,582.82","24,646.45","24,243.74","331.89M","-0.50%"
"Apr 12, 2018","24,483.05","24,302.82","24,592.12","24,302.82","336.13M","1.21%"
"Apr 11, 2018","24,189.45","24,274.19","24,366.57","24,150.87","286.36M","-0.90%"
"Apr 10, 2018","24,408.00","24,198.95","24,511.35","24,198.95","368.59M","1.79%"
"Apr 09, 2018","23,979.10","24,037.52","24,373.18","23,954.83","380.79M","0.19%"
"Apr 06, 2018","23,932.76","24,373.60","24,434.40","23,738.20","395.98M","-2.34%"
"Apr 05, 2018","24,505.22","24,313.91","24,622.26","24,313.91","347.79M","0.99%"
"Apr 04, 2018","24,264.30","23,654.15","24,308.96","23,523.16","388.54M","0.96%"
"Apr 03, 2018","24,033.36","23,698.33","24,044.35","23,664.33","394.13M","1.65%"
"Apr 02, 2018","23,644.19","24,076.60","24,123.80","23,344.52","509.82M","-1.90%"
"Mar 29, 2018","24,103.11","23,949.18","24,314.30","23,928.13","463.55M","1.07%"
"Mar 28, 2018","23,848.42","23,883.08","24,092.47","23,728.67","530.04M","-0.04%"
"Mar 27, 2018","23,857.71","24,276.62","24,446.22","23,708.73","524.48M","-1.43%"
"Mar 26, 2018","24,202.60","23,825.74","24,232.30","23,741.22","479.54M","2.84%"
"Mar 23, 2018","23,533.20","23,995.18","24,108.47","23,509.06","482.55M","-1.77%"
"Mar 22, 2018","23,957.89","24,526.01","24,526.01","23,938.74","439.28M","-2.93%"
"Mar 21, 2018","24,682.31","24,723.49","24,977.65","24,655.40","343.23M","-0.18%"
"Mar 20, 2018","24,727.27","24,650.64","24,803.61","24,650.64","342.51M","0.47%"
"Mar 19, 2018","24,610.91","24,893.69","24,893.69","24,453.14","377.99M","-1.35%"
"Mar 16, 2018","24,946.51","24,877.34","25,031.00","24,857.09","654.24M","0.29%"
"Mar 15, 2018","24,873.66","24,837.29","25,053.87","24,753.29","316.31M","0.47%"
"Mar 14, 2018","24,758.12","25,086.97","25,130.12","24,668.83","356.83M","-1.00%"
"Mar 13, 2018","25,007.03","25,257.75","25,376.40","24,947.50","447.88M","-0.68%"
"Mar 12, 2018","25,178.61","25,372.44","25,449.15","25,152.02","362.58M","-0.62%"
"Mar 09, 2018","25,335.74","25,004.89","25,336.33","25,004.89","371.57M","1.77%"
"Mar 08, 2018","24,895.21","24,853.41","24,950.49","24,703.05","327.30M","0.38%"
"Mar 07, 2018","24,801.36","24,758.15","24,849.68","24,535.12","394.07M","-0.33%"
"Mar 06, 2018","24,884.12","24,965.89","24,995.24","24,708.41","331.77M","0.04%"
"Mar 05, 2018","24,874.76","24,471.31","24,961.00","24,387.15","383.91M","1.37%"
"Mar 02, 2018","24,538.06","24,394.91","24,592.46","24,217.76","437.13M","-0.29%"
"Mar 01, 2018","24,608.98","25,024.04","25,185.35","24,442.56","506.28M","-1.68%"
"Feb 28, 2018","25,029.20","25,485.15","25,576.15","25,022.42","451.87M","-1.50%"
"Feb 27, 2018","25,410.03","25,735.78","25,800.35","25,407.83","438.39M","-1.16%"
"Feb 26, 2018","25,709.27","25,403.35","25,732.80","25,398.56","473.36M","1.58%"
"Feb 23, 2018","25,309.99","25,050.51","25,313.91","25,028.73","335.42M","1.39%"
"Feb 22, 2018","24,962.48","24,855.41","25,156.72","24,854.83","378.90M","0.66%"
"Feb 21, 2018","24,797.78","24,988.06","25,267.99","24,792.99","456.06M","-0.67%"
"Feb 20, 2018","24,964.75","25,124.91","25,179.01","24,884.19","421.51M","-1.01%"
"Feb 16, 2018","25,219.38","25,165.94","25,432.42","25,149.26","406.73M","0.08%"
"Feb 15, 2018","25,200.37","25,047.82","25,203.95","24,809.42","416.78M","1.23%"
"Feb 14, 2018","24,893.49","24,535.82","24,925.95","24,490.36","431.16M","1.03%"
"Feb 13, 2018","24,640.45","24,540.33","24,705.72","24,421.03","374.41M","0.16%"
"Feb 12, 2018","24,601.27","24,337.76","24,765.16","24,290.48","496.61M","1.70%"
"Feb 09, 2018","24,190.90","23,992.67","24,382.14","23,360.29","735.03M","1.38%"
"Feb 08, 2018","23,860.46","24,902.30","24,903.68","23,849.23","657.50M","-4.15%"
"Feb 07, 2018","24,893.35","24,892.87","25,293.96","24,785.44","504.62M","-0.08%"
"Feb 06, 2018","24,912.77","24,085.17","24,946.23","23,778.74","823.94M","2.33%"
"Feb 05, 2018","24,345.75","25,337.87","25,520.53","23,923.88","714.45M","-4.60%"
"Feb 02, 2018","25,520.96","26,061.79","26,061.79","25,490.66","522.88M","-2.54%"
"Feb 01, 2018","26,186.71","26,083.04","26,306.70","26,014.44","410.62M","0.14%"
"Jan 31, 2018","26,149.39","26,268.17","26,338.03","26,050.98","479.13M","0.28%"
"Jan 30, 2018","26,076.89","26,198.45","26,256.99","26,028.42","448.33M","-1.37%"
"Jan 29, 2018","26,439.48","26,584.28","26,608.90","26,435.34","421.00M","-0.67%"
"Jan 26, 2018","26,616.71","26,466.74","26,616.71","26,425.35","477.78M","0.85%"
"Jan 25, 2018","26,392.79","26,313.06","26,458.25","26,259.72","401.39M","0.54%"
"Jan 24, 2018","26,252.12","26,282.07","26,392.80","26,106.94","518.79M","0.16%"
"Jan 23, 2018","26,210.81","26,214.87","26,246.19","26,143.90","433.49M","-0.01%"
"Jan 22, 2018","26,214.60","26,025.32","26,215.23","25,974.65","431.20M","0.55%"
"Jan 19, 2018","26,071.72","25,987.35","26,071.72","25,942.83","585.00M","0.21%"
"Jan 18, 2018","26,017.81","26,149.55","26,153.42","25,947.32","492.78M","-0.37%"
"Jan 17, 2018","26,115.65","25,910.78","26,130.45","25,865.02","522.72M","1.25%"
"Jan 16, 2018","25,792.86","25,987.62","26,086.12","25,702.99","606.52M","-0.04%"
"Jan 12, 2018","25,803.19","25,638.39","25,810.43","25,633.08","376.40M","0.89%"
"Jan 11, 2018","25,574.73","25,398.60","25,575.42","25,396.19","346.83M","0.81%"
"Jan 10, 2018","25,369.13","25,348.13","25,404.92","25,256.99","341.47M","-0.07%"
"Jan 09, 2018","25,385.80","25,312.05","25,439.78","25,308.41","333.49M","0.41%"
"Jan 08, 2018","25,283.00","25,308.40","25,311.99","25,235.41","341.39M","-0.05%"
"Jan 05, 2018","25,295.87","25,114.92","25,299.79","25,112.01","358.02M","0.88%"
"Jan 04, 2018","25,075.13","24,964.86","25,105.96","24,963.27","403.28M","0.61%"
"Jan 03, 2018","24,922.68","24,850.45","24,941.92","24,825.55","456.79M","0.40%"
"Jan 02, 2018","24,824.01","24,809.35","24,864.19","24,741.70","341.13M","0.42%"
"Dec 29, 2017","24,719.22","24,849.63","24,871.66","24,719.22","270.76M","-0.48%"
"Dec 28, 2017","24,837.51","24,807.21","24,839.23","24,797.13","200.96M","0.26%"
"Dec 27, 2017","24,774.30","24,766.52","24,789.52","24,731.68","225.89M","0.11%"
"Dec 26, 2017","24,746.21","24,715.84","24,778.13","24,708.42","208.29M","-0.03%"
"Dec 22, 2017","24,754.06","24,764.04","24,784.15","24,717.51","255.14M","-0.11%"
"Dec 21, 2017","24,782.29","24,778.26","24,850.91","24,766.27","339.53M","0.23%"
"Dec 20, 2017","24,726.65","24,838.09","24,852.44","24,697.11","341.79M","-0.11%"
"Dec 19, 2017","24,754.75","24,834.38","24,850.11","24,715.60","335.33M","-0.15%"
"Dec 18, 2017","24,792.20","24,739.56","24,876.07","24,739.56","354.88M","0.57%"
"Dec 15, 2017","24,651.74","24,585.71","24,688.62","24,584.44","635.74M","0.58%"
"Dec 14, 2017","24,508.66","24,631.01","24,672.48","24,508.66","314.78M","-0.31%"
"Dec 13, 2017","24,585.43","24,525.19","24,666.02","24,518.30","325.28M","0.33%"
"Dec 12, 2017","24,504.80","24,452.96","24,552.97","24,443.83","342.22M","0.49%"
"Dec 11, 2017","24,386.03","24,338.11","24,389.72","24,314.74","300.58M","0.23%"
"Dec 08, 2017","24,329.16","24,263.26","24,330.12","24,225.50","293.59M","0.49%"
"Dec 07, 2017","24,211.48","24,116.60","24,262.88","24,101.24","319.06M","0.29%"
"Dec 06, 2017","24,140.91","24,171.90","24,229.35","24,134.49","312.72M","-0.16%"
"Dec 05, 2017","24,180.64","24,335.01","24,349.74","24,155.28","371.19M","-0.45%"
"Dec 04, 2017","24,290.05","24,424.11","24,534.04","24,288.19","424.25M","0.24%"
"Dec 01, 2017","24,231.59","24,305.40","24,322.06","23,921.90","417.91M","-0.17%"
"Nov 30, 2017","24,272.35","24,013.80","24,327.82","24,013.80","488.20M","1.39%"
"Nov 29, 2017","23,940.68","23,883.26","23,959.76","23,872.59","401.41M","0.44%"
"Nov 28, 2017","23,836.71","23,625.19","23,849.61","23,617.11","319.24M","1.09%"
"Nov 27, 2017","23,580.78","23,552.86","23,638.92","23,545.02","296.32M","0.10%"
"Nov 24, 2017","23,557.99","23,552.75","23,599.18","23,551.59","118.61M","0.14%"
"Nov 22, 2017","23,526.18","23,597.24","23,605.77","23,507.61","268.76M","-0.27%"
"Nov 21, 2017","23,590.83","23,500.15","23,617.80","23,500.15","329.65M","0.69%"
"Nov 20, 2017","23,430.33","23,370.71","23,456.88","23,360.58","315.33M","0.31%"
"Nov 17, 2017","23,358.24","23,433.77","23,433.77","23,356.01","386.00M","-0.43%"
"Nov 16, 2017","23,458.36","23,365.34","23,492.19","23,365.34","402.02M","0.80%"
"Nov 15, 2017","23,271.28","23,334.59","23,344.99","23,242.75","404.30M","-0.59%"
"Nov 14, 2017","23,409.47","23,388.40","23,414.08","23,271.57","561.33M","-0.13%"
"Nov 13, 2017","23,439.70","23,367.47","23,461.68","23,343.34","491.26M","0.07%"
"Nov 10, 2017","23,422.21","23,432.71","23,452.20","23,392.96","351.28M","-0.17%"
"Nov 09, 2017","23,461.94","23,492.09","23,516.74","23,310.02","305.44M","-0.43%"
"Nov 08, 2017","23,563.36","23,542.60","23,575.00","23,510.56","264.67M","0.03%"
"Nov 07, 2017","23,557.23","23,574.03","23,602.12","23,484.19","285.08M","0.04%"
"Nov 06, 2017","23,548.42","23,533.96","23,574.86","23,520.75","325.18M","0.04%"
"Nov 03, 2017","23,539.19","23,549.59","23,557.06","23,481.57","312.26M","0.10%"
"Nov 02, 2017","23,516.26","23,463.24","23,531.38","23,350.98","348.04M","0.35%"
"Nov 01, 2017","23,435.01","23,442.90","23,517.71","23,388.91","361.26M","0.25%"
"Oct 31, 2017","23,377.24","23,369.22","23,406.35","23,334.39","388.05M","0.12%"
"Oct 30, 2017","23,348.74","23,405.75","23,428.75","23,327.87","436.90M","-0.36%"
